表达式,训练集RankIC,样本外RankIC,训练集RankICIR,样本外RankICIR,训练集TopQuantileRet,样本外TopQuantileRet,训练集QuantileMono,样本外QuantileMono
"div(ts_std_40(ts_correlation_40(close, close)), volume)",0.0338718425158699,0.040177626910183985,0.2772798843800276,0.30192911979138926,0.14239730255094613,0.2600582955088034,0.1,0.3
"div(div(ts_std_40(ts_correlation_40(close, close)), volume), volume)",0.033675519248717194,0.0439740130024885,0.29525153865591014,0.3676405338335934,0.17833779748552436,0.2718251662861832,0.1,0.3
ts_std_5(vwap),0.025998770038706487,0.030634251522470506,0.18278061038642276,0.2271309880644936,0.1205215300722603,0.25979484448851664,0.5,0.3
"add(ts_min_60(vwap), ts_max_40(volume))",0.025963182100413224,0.029540686516447364,0.27527959765841814,0.3051368497991924,0.19183676135615071,0.2960293184424592,0.5,0.7
